date,gross_return,base_cost_return,stressed_cost_return,net_return,stressed_net_return,turnover,gross_leverage,net_exposure,nav,stressed_cost_nav
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
