,value
annual_return,0.0662952203912266
annual_vol,0.11487689066217897
sharpe,0.5770979699144402
sortino,0.6943725826552052
max_drawdown,-0.22757940167015678
calmar,0.2913058910635149
var_99_daily,0.02096377417030863
es_99_daily,0.030179698519896863
skew,-0.6492320309710681
kurtosis,10.170772735881378
hit_rate,0.5043316831683168
avg_daily_turnover,0.027033889318122138
annualized_turnover,6.812540108166779
avg_gross_leverage,1.447994907175681
max_gross_leverage,2.0000000000000004
total_base_cost_drag,0.020352021185974217
total_stressed_cost_drag,0.06105606355792263
