,in_sample,out_of_sample,out_of_sample_stressed_cost
annual_return,0.051228830427110905,0.08229244714019757,0.07970394836775196
annual_vol,0.10476607320171527,0.1245961414198631,0.12459817133663409
sharpe,0.48898301579439335,0.6604734801769593,0.6396879465623231
sortino,0.6084517948979394,0.7874381072974432,0.7631239015462796
max_drawdown,-0.15190607442130677,-0.22757940167015722,-0.2323218438204494
calmar,0.3372401704294546,0.361598837751882,0.3430755673123505
var_99_daily,0.018952757934705727,0.022477067372597512,0.022477067372597512
es_99_daily,0.025558901922818098,0.03442804026484109,0.03443765398918147
skew,-0.3473544656787035,-0.8330351311660665,-0.8322129884612075
kurtosis,5.385528677337509,12.136247177061998,12.134224615683955
hit_rate,0.45865268253327957,0.5521317011397214,0.550443224989447
avg_daily_turnover,0.023761000046793504,0.030458748965071784,0.030458748965071784
annualized_turnover,5.987772011791963,7.675604739198089,7.675604739198089
avg_gross_leverage,1.2827220856202297,1.6209418572119683,1.6209418572119683
max_gross_leverage,2.0000000000000004,2.0,2.0
total_base_cost_drag,0.009094612443333814,0.0112574087426404,0.0112574087426404
total_stressed_cost_drag,0.027283837330001445,0.0337722262279212,0.0337722262279212
